,ID,Name,Sex,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,age-height-weight,num_for_test
1375,777,Pierre Louis Eugne Adam,M,France,FRA,1948 Summer,1948,Summer,London,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Gold,24.0?nan?nan,52.58
1388,785,Dariusz Adamczuk,M,Poland,POL,1992 Summer,1992,Summer,Barcelona,Football,Football Men's Football,Silver,22.0*179.0?78.0,1075.5
1450,807,"Benjamin Willard ""Ben"" Adams",M,United States,USA,1912 Summer,1912,Summer,Stockholm,Athletics,Athletics Men's Standing High Jump,Silver,22.0?188.0?78.0,46.37
1451,807,"Benjamin Willard ""Ben"" Adams",M,United States,USA,1912 Summer,1912,Summer,Stockholm,Athletics,Athletics Men's Standing Long Jump,Bronze,22.0*188.0?78.0,291.84
1462,813,Edgar Holmes Adams,M,United States,USA,1904 Summer,1904,Summer,St. Louis,Swimming,Swimming Men's Plunge For Distance,Silver,36.0(nan?nan,510.84
1472,818,Harry Lester Adams,M,United States,USA,1912 Summer,1912,Summer,Stockholm,Shooting,"Shooting Men's Military Rifle, 200, 400, 500 and 600 metres, Team",Gold,31.0*nan?nan,63.36
1490,830,Adrian Neil Adams,M,Great Britain,GBR,1980 Summer,1980,Summer,Moskva,Judo,Judo Men's Lightweight,Silver,21.0:178.0?78.0,1485.4
1491,830,Adrian Neil Adams,M,Great Britain,GBR,1984 Summer,1984,Summer,Los Angeles,Judo,Judo Men's Half-Middleweight,Silver,25.0*178.0?78.0,884.13
1494,832,Nicola Virginia Adams,F,Great Britain,GBR,2012 Summer,2012,Summer,London,Boxing,Boxing Women's Flyweight,Gold,29.0(164.0?51.0,961.67
1495,832,Nicola Virginia Adams,F,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Boxing,Boxing Women's Flyweight,Gold,33.0*164.0?51.0,1078.06
1511,836,Platt Adams,M,United States,USA,1912 Summer,1912,Summer,Stockholm,Athletics,Athletics Men's Standing High Jump,Gold,27.0(188.0?78.0,1726.64
1512,836,Platt Adams,M,United States,USA,1912 Summer,1912,Summer,Stockholm,Athletics,Athletics Men's Standing Long Jump,Silver,27.0(188.0?78.0,295.48
1514,837,Rachael Alexis Adams,F,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Volleyball,Volleyball Women's Volleyball,Bronze,26.0(188.0?81.0,1793.15
1519,840,"Victoria ""Vicki"" Adams",F,Great Britain,GBR,2014 Winter,2014,Winter,Sochi,Curling,Curling Women's Curling,Bronze,24.0:164.0?69.0,736.42
1527,846,Valerie Kasanita Adams-Vili (-Price),F,New Zealand,NZL,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's Shot Put,Gold,23.0*193.0?120.0,1811.81
1528,846,Valerie Kasanita Adams-Vili (-Price),F,New Zealand,NZL,2012 Summer,2012,Summer,London,Athletics,Athletics Women's Shot Put,Gold,27.0(193.0?120.0,76.04
1529,846,Valerie Kasanita Adams-Vili (-Price),F,New Zealand,NZL,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's Shot Put,Silver,31.0?193.0?120.0,1807.39
1533,849,Filip Kamil Adamski,M,Germany,GER,2012 Summer,2012,Summer,London,Rowing,Rowing Men's Coxed Eights,Gold,29.0?189.0?87.0,815.23
1534,850,Herbert Adamski,M,Germany,GER,1936 Summer,1936,Summer,Berlin,Rowing,Rowing Men's Coxed Pairs,Gold,26.0?nan?nan,96.94
1535,851,Jerzy Adamski,M,Poland,POL,1960 Summer,1960,Summer,Roma,Boxing,Boxing Men's Featherweight,Silver,23.0?171.0?58.0,1914.99
1579,882,Simon Addo,M,Ghana,GHA,1992 Summer,1992,Summer,Barcelona,Football,Football Men's Football,Bronze,17.0*180.0?79.0,1191.48
1583,884,Eugene Addor,M,Switzerland,SUI,1920 Summer,1920,Summer,Antwerpen,Shooting,"Shooting Men's Military Rifle, 300 metres and 600 metres, Prone, Team",Bronze,nan(nan?nan,709.88
1617,896,Olubayo Adefemi,M,Nigeria,NGR,2008 Summer,2008,Summer,Beijing,Football,Football Men's Football,Silver,22.0(181.0?82.0,1132.5
1637,908,"Ayodele ""Dele"" Adeleye",M,Nigeria,NGR,2008 Summer,2008,Summer,Beijing,Football,Football Men's Football,Silver,19.0*190.0?80.0,842.25
1651,918,Ademir Roque Kaefer,M,Brazil,BRA,1984 Summer,1984,Summer,Los Angeles,Football,Football Men's Football,Silver,24.0?179.0?74.0,690.63
1652,918,Ademir Roque Kaefer,M,Brazil,BRA,1988 Summer,1988,Summer,Seoul,Football,Football Men's Football,Silver,28.0:179.0?74.0,1024.93
1665,923,Olapade Charles Adeniken,M,Nigeria,NGR,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 4 x 100 metres Relay,Silver,22.0(186.0?78.0,1763.39
1668,925,Adenzia Aparecida Ferreira da Silva,F,Brazil,BRA,2012 Summer,2012,Summer,London,Volleyball,Volleyball Women's Volleyball,Gold,25.0(187.0?65.0,1767.47
1712,953,Franck Adisson,M,France-1,FRA,1992 Summer,1992,Summer,Barcelona,Canoeing,"Canoeing Men's Canadian Doubles, Slalom",Bronze,23.0?180.0?70.0,398.59
1713,953,Franck Adisson,M,France-1,FRA,1996 Summer,1996,Summer,Atlanta,Canoeing,"Canoeing Men's Canadian Doubles, Slalom",Gold,26.0*180.0?70.0,436.36
1720,956,"Richard ""Richy""  Adjei",M,Germany-2,GER,2010 Winter,2010,Winter,Vancouver,Bobsleigh,Bobsleigh Men's Two,Silver,27.0?190.0?110.0,590.14
1722,957,Sammi Adjei,M,Ghana,GHA,1992 Summer,1992,Summer,Barcelona,Football,Football Men's Football,Bronze,18.0?nan?nan,569.33
1727,962,"Charles ""Chuck"" Adkins",M,United States,USA,1952 Summer,1952,Summer,Helsinki,Boxing,Boxing Men's Light-Welterweight,Gold,20.0(nan?nan,310.97
1728,963,Derrick Ralph Adkins,M,United States,USA,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 400 metres Hurdles,Gold,26.0:188.0?80.0,401.48
1729,964,"Robert Edward ""Bob"" Adlard",M,Great Britain,GBR,1948 Summer,1948,Summer,London,Hockey,Hockey Men's Hockey,Silver,32.0*nan?nan,1873.43
1733,966,Daniel Adler,M,Brazil,BRA,1984 Summer,1984,Summer,Los Angeles,Sailing,Sailing Mixed Three Person Keelboat,Silver,26.0:180.0?72.0,1171.45
1737,967,Egon Adler,M,Germany,GER,1960 Summer,1960,Summer,Roma,Cycling,Cycling Men's 100 kilometres Team Time Trial,Silver,23.0:172.0?62.0,134.01
1739,968,"Margarete ""Grete"" Adler",F,Austria,AUT,1912 Summer,1912,Summer,Stockholm,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze,16.0(nan?nan,1872.07
1752,973,Gregor Nils Henric Adlercreutz,M,Sweden,SWE,1936 Summer,1936,Summer,Berlin,Equestrianism,"Equestrianism Men's Dressage, Team",Bronze,37.0?nan?nan,1497.65
1755,974,Nils August Domingo Adlercreutz,M,Sweden,SWE,1912 Summer,1912,Summer,Stockholm,Equestrianism,"Equestrianism Men's Three-Day Event, Team",Gold,45.0?nan?nan,1312.36
1756,975,Anna Mrtha Vilhelmina Adlerstrhle (von Oelreich-),F,Sweden,SWE,1908 Summer,1908,Summer,London,Tennis,"Tennis Women's Singles, Covered Courts",Bronze,39.0:nan?nan,1699.19
1762,977,Erik William Adlerz,M,Sweden,SWE,1912 Summer,1912,Summer,Stockholm,Diving,Diving Men's Platform,Gold,19.0?nan?nan,1768.75
1763,977,Erik William Adlerz,M,Sweden,SWE,1912 Summer,1912,Summer,Stockholm,Diving,Diving Men's Plain High,Gold,19.0(nan?nan,1041.32
1764,977,Erik William Adlerz,M,Sweden,SWE,1920 Summer,1920,Summer,Antwerpen,Diving,Diving Men's Platform,Silver,27.0(nan?nan,1887.29
1772,980,"Rebecca ""Becky"" Adlington",F,Great Britain,GBR,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 400 metres Freestyle,Gold,19.0*179.0?70.0,847.72
1773,980,"Rebecca ""Becky"" Adlington",F,Great Britain,GBR,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 800 metres Freestyle,Gold,19.0*179.0?70.0,1373.59
1774,980,"Rebecca ""Becky"" Adlington",F,Great Britain,GBR,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 400 metres Freestyle,Bronze,23.0:179.0?70.0,1673.7
1775,980,"Rebecca ""Becky"" Adlington",F,Great Britain,GBR,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 800 metres Freestyle,Bronze,23.0*179.0?70.0,881.09
1807,1000,Dainius Adomaitis,M,Lithuania,LTU,2000 Summer,2000,Summer,Sydney,Basketball,Basketball Men's Basketball,Bronze,26.0:202.0?100.0,908.16
1843,1017,Nathan Ghar-Jun Adrian,M,United States,USA,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold,19.0:198.0?100.0,117.09
1844,1017,Nathan Ghar-Jun Adrian,M,United States,USA,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 100 metres Freestyle,Gold,23.0?198.0?100.0,465.44
1845,1017,Nathan Ghar-Jun Adrian,M,United States,USA,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Silver,23.0*198.0?100.0,1613.58
1846,1017,Nathan Ghar-Jun Adrian,M,United States,USA,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold,23.0:198.0?100.0,1147.53
1847,1017,Nathan Ghar-Jun Adrian,M,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 50 metres Freestyle,Bronze,27.0*198.0?100.0,370.37
1848,1017,Nathan Ghar-Jun Adrian,M,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 100 metres Freestyle,Bronze,27.0(198.0?100.0,440.24
1849,1017,Nathan Ghar-Jun Adrian,M,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold,27.0:198.0?100.0,2.88
1850,1017,Nathan Ghar-Jun Adrian,M,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold,27.0?198.0?100.0,989.21
1856,1020,Adriana Aparecida dos Santos,F,Brazil,BRA,1996 Summer,1996,Summer,Atlanta,Basketball,Basketball Women's Basketball,Silver,25.0*180.0?61.0,755.52
1857,1020,Adriana Aparecida dos Santos,F,Brazil,BRA,2000 Summer,2000,Summer,Sydney,Basketball,Basketball Women's Basketball,Bronze,29.0(180.0?61.0,793.23
1863,1023,"Adriana ""Adrianinha"" Moiss Pinto",F,Brazil,BRA,2000 Summer,2000,Summer,Sydney,Basketball,Basketball Women's Basketball,Bronze,21.0*170.0?65.0,345.39
1872,1025,Attila Adrovicz,M,Hungary,HUN,1996 Summer,1996,Summer,Atlanta,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Silver,30.0(189.0?87.0,429.8
1899,1046,Klaus Aeffke,M,Germany,GER,1964 Summer,1964,Summer,Tokyo,Rowing,Rowing Men's Coxed Eights,Silver,24.0*189.0?82.0,63.63
1942,1071,Kseniya Dmitriyevna Afanasyeva,F,Russia,RUS,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Women's Team All-Around,Silver,20.0?158.0?48.0,161.35
1962,1085,Maksim Sergeyevich Afinogenov,M,Russia,RUS,2002 Winter,2002,Winter,Salt Lake City,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze,22.0:183.0?88.0,794.69
1968,1088,"Olabisi ""Bisi"" Afolabi",F,Nigeria,NGR,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Women's 4 x 400 metres Relay,Silver,20.0*180.0?62.0,1522.31
1976,1094,Felicia Afrsiloaie (-Jitianu),F,Romania,ROU,1976 Summer,1976,Summer,Montreal,Rowing,Rowing Women's Coxed Quadruple Sculls,Bronze,22.0:178.0?70.0,899.15
1977,1095,Cecil Sebastian Afrika,M,South Africa,RSA,2016 Summer,2016,Summer,Rio de Janeiro,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,Bronze,28.0(175.0?75.0,303.77
1997,1104,Muhammad Afzal Manna,M,Pakistan,PAK,1964 Summer,1964,Summer,Tokyo,Hockey,Hockey Men's Hockey,Silver,25.0*173.0?76.0,1072.23
2002,1107,"Timothy Ernest Victor Kwizera ""Tim"" Agaba",M,South Africa,RSA,2016 Summer,2016,Summer,Rio de Janeiro,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,Bronze,27.0:193.0?104.0,306.88
2005,1109,Lavinia Agache (-Carney),F,Romania,ROU,1984 Summer,1984,Summer,Los Angeles,Gymnastics,Gymnastics Women's Team All-Around,Gold,16.0?148.0?40.0,1574.33
2007,1109,Lavinia Agache (-Carney),F,Romania,ROU,1984 Summer,1984,Summer,Los Angeles,Gymnastics,Gymnastics Women's Horse Vault,Bronze,16.0?148.0?40.0,1887.23
2016,1114,Luca Agamennoni,M,Italy,ITA,2004 Summer,2004,Summer,Athina,Rowing,Rowing Men's Coxless Fours,Bronze,24.0:187.0?93.0,1349.68
2017,1114,Luca Agamennoni,M,Italy,ITA,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Men's Quadruple Sculls,Silver,27.0?187.0?93.0,1440.28
2031,1122,Andre Kirk Agassi,M,United States,USA,1996 Summer,1996,Summer,Atlanta,Tennis,Tennis Men's Singles,Gold,26.0*180.0?80.0,1602.61
2044,1131,Clarisse Agbegnenou,F,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Judo,Judo Women's Half-Middleweight,Silver,23.0*164.0?66.0,1382.63
2062,1144,Henrik Agersborg,M,Stella-2,NOR,1920 Summer,1920,Summer,Antwerpen,Sailing,Sailing Mixed 6 metres,Bronze,47.0:nan?nan,992.9
2065,1147,Viktor Ivanovich Ageyev,M,Soviet Union,URS,1956 Summer,1956,Summer,Melbourne,Water Polo,Water Polo Men's Water Polo,Bronze,20.0:184.0?80.0,1572.13
2066,1147,Viktor Ivanovich Ageyev,M,Soviet Union,URS,1960 Summer,1960,Summer,Roma,Water Polo,Water Polo Men's Water Polo,Silver,24.0(184.0?80.0,612.81
2067,1147,Viktor Ivanovich Ageyev,M,Soviet Union,URS,1964 Summer,1964,Summer,Tokyo,Water Polo,Water Polo Men's Water Polo,Bronze,28.0?184.0?80.0,130.54
2099,1169,Marilyn Agliotti,F,Netherlands,NED,2008 Summer,2008,Summer,Beijing,Hockey,Hockey Women's Hockey,Gold,29.0*172.0?58.0,1896.86
2100,1169,Marilyn Agliotti,F,Netherlands,NED,2012 Summer,2012,Summer,London,Hockey,Hockey Women's Hockey,Gold,33.0(172.0?58.0,965.3
2110,1173,Yannick Agnel,M,France,FRA,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 200 metres Freestyle,Gold,20.0*202.0?90.0,1973.75
2111,1173,Yannick Agnel,M,France,FRA,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold,20.0?202.0?90.0,1573.55
2112,1173,Yannick Agnel,M,France,FRA,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Silver,20.0?202.0?90.0,1050.29
2126,1181,Meghan Christina Agosta (-Marciano),F,Canada,CAN,2006 Winter,2006,Winter,Torino,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold,18.0:168.0?67.0,1574.39
2127,1181,Meghan Christina Agosta (-Marciano),F,Canada,CAN,2010 Winter,2010,Winter,Vancouver,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold,23.0:168.0?67.0,1348.23
2128,1181,Meghan Christina Agosta (-Marciano),F,Canada,CAN,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold,26.0:168.0?67.0,534.76
2138,1188,"Benjamin Alexandro ""Ben"" Agosto",M,United States-1,USA,2006 Winter,2006,Winter,Torino,Figure Skating,Figure Skating Mixed Ice Dancing,Silver,24.0(178.0?75.0,1222.97
2143,1191,Judit goston-Mendelnyi,F,Hungary,HUN,1964 Summer,1964,Summer,Tokyo,Fencing,"Fencing Women's Foil, Team",Gold,27.0(164.0?62.0,42.92
2144,1192,Carlo Agostoni Faini,M,Italy,ITA,1928 Summer,1928,Summer,Amsterdam,Fencing,"Fencing Men's epee, Team",Gold,19.0?170.0?nan,33.94
2145,1192,Carlo Agostoni Faini,M,Italy,ITA,1932 Summer,1932,Summer,Los Angeles,Fencing,"Fencing Men's epee, Individual",Bronze,23.0(170.0?nan,551.78
2146,1192,Carlo Agostoni Faini,M,Italy,ITA,1932 Summer,1932,Summer,Los Angeles,Fencing,"Fencing Men's epee, Team",Silver,23.0(170.0?nan,329.15
2148,1192,Carlo Agostoni Faini,M,Italy,ITA,1948 Summer,1948,Summer,London,Fencing,"Fencing Men's epee, Team",Silver,39.0*170.0?nan,1923.42
2159,1201,Erik Alfred gren,M,Sweden,SWE,1936 Summer,1936,Summer,Berlin,Boxing,Boxing Men's Lightweight,Bronze,20.0(nan?nan,306.45
2170,1208,Ioannis Agrimis,M,"Large boat, Central Naval Prep School ""Poros""-1",GRE,1906 Summer,1906,Summer,Athina,Rowing,Rowing Men's 17-Man Naval Rowing Boats,Gold,nan:nan?nan,732.47
2173,1211,"Estella ""Stella"" Agsteribbe (-Blits)",F,Netherlands,NED,1928 Summer,1928,Summer,Amsterdam,Gymnastics,Gymnastics Women's Team All-Around,Gold,19.0?nan?nan,1161.94
2183,1220,Sergio Leonel Agero del Castillo,M,Argentina,ARG,2008 Summer,2008,Summer,Beijing,Football,Football Men's Football,Gold,20.0:172.0?74.0,1921.92
2184,1221,"Taismary ""Tai"" Agero Leiva (-Botteghi)",F,Cuba,CUB,2000 Summer,2000,Summer,Sydney,Volleyball,Volleyball Women's Volleyball,Gold,23.0(175.0?70.0,1376.0
2256,1249,Jos Aguilar Pulsn,M,Cuba,CUB,1980 Summer,1980,Summer,Moskva,Boxing,Boxing Men's Light-Welterweight,Bronze,20.0*173.0?64.0,1669.96
2263,1254,Macarena Aguilar Daz,F,Spain,ESP,2012 Summer,2012,Summer,London,Handball,Handball Women's Handball,Bronze,27.0*170.0?67.0,805.13
2280,1262,Sandra Aguilar Navarro,F,Spain,ESP,2016 Summer,2016,Summer,Rio de Janeiro,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Silver,23.0(167.0?50.0,1005.3
2288,1270,Jorge Luis Aguilera Ruiz,M,Cuba,CUB,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 4 x 100 metres Relay,Bronze,26.0?172.0?64.0,741.75
2331,1301,Sri Wahyuni Agustiani,F,Indonesia,INA,2016 Summer,2016,Summer,Rio de Janeiro,Weightlifting,Weightlifting Women's Flyweight,Silver,21.0:147.0?47.0,103.24
2352,1313,Robyn Mokihana Ah Mow-Santos,F,United States,USA,2008 Summer,2008,Summer,Beijing,Volleyball,Volleyball Women's Volleyball,Silver,32.0?172.0?67.0,1232.59
2363,1322,Kevin Joseph Ahearn,M,United States,USA,1972 Winter,1972,Winter,Sapporo,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver,23.0(175.0?73.0,585.41
2367,1323,"Timothy Joseph ""Tim"" Ahearne",M,Great Britain,GBR,1908 Summer,1908,Summer,London,Athletics,Athletics Men's Triple Jump,Gold,22.0*170.0?57.0,226.26
2386,1333,Bruno Valfrid Ahlberg,M,Finland,FIN,1932 Summer,1932,Summer,Los Angeles,Boxing,Boxing Men's Welterweight,Bronze,21.0?168.0?69.5,1755.65
2391,1336,Mats Bertil hlberg,M,Sweden,SWE,1980 Winter,1980,Winter,Lake Placid,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze,32.0*179.0?78.0,1361.84
2396,1340,Annica Gunilla hln,F,Sweden,SWE,2002 Winter,2002,Winter,Salt Lake City,Ice Hockey,Ice Hockey Women's Ice Hockey,Bronze,27.0?177.0?75.0,828.92
2397,1341,Johan Petter hln (Andersson-),M,Sweden,SWE,1924 Winter,1924,Winter,Chamonix,Curling,Curling Men's Curling,Silver,44.0(nan?nan,1619.91
2398,1342,Thomas Valter hln,M,Sweden,SWE,1984 Winter,1984,Winter,Sarajevo,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze,24.0(182.0?90.0,1716.77
2403,1346,Anselm Ahlfors,M,Finland,FIN,1924 Summer,1924,Summer,Paris,Wrestling,"Wrestling Men's Bantamweight, Greco-Roman",Silver,26.0?nan?nan,777.93
2406,1348,Anders Oscar Ahlgren,M,Sweden,SWE,1912 Summer,1912,Summer,Stockholm,Wrestling,"Wrestling Men's Middleweight B, Greco-Roman",Silver,24.0?nan?nan,821.88
2410,1350,George Lewis Ahlgren,M,United States,USA,1948 Summer,1948,Summer,London,Rowing,Rowing Men's Coxed Eights,Gold,19.0?nan?nan,1433.31
2423,1356,Christian Ahlmann,M,Germany,GER,2004 Summer,2004,Summer,Athina,Equestrianism,"Equestrianism Mixed Jumping, Team",Bronze,29.0:189.0?80.0,1312.52
2429,1356,Christian Ahlmann,M,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Equestrianism,"Equestrianism Mixed Jumping, Team",Bronze,41.0?189.0?80.0,687.15
2433,1359,Thure Johan Ahlqvist,M,Sweden,SWE,1932 Summer,1932,Summer,Los Angeles,Boxing,Boxing Men's Lightweight,Silver,25.0*nan?nan,710.02
2438,1364,"Sten Olov ""Olle"" hlund",M,Sweden,SWE,1952 Summer,1952,Summer,Helsinki,Football,Football Men's Football,Bronze,31.0*nan?nan,1111.51
2453,1374,Tontowi Ahmad,M,Indonesia-1,INA,2016 Summer,2016,Summer,Rio de Janeiro,Badminton,Badminton Mixed Doubles,Gold,29.0?179.0?72.0,1741.23
2462,1378,Arne Per hman,M,Sweden,SWE,1948 Summer,1948,Summer,London,Athletics,Athletics Men's Triple Jump,Gold,23.0*176.0?64.0,1383.65
2465,1379,Jrg Ahmann,M,Germany-1,GER,2000 Summer,2000,Summer,Sydney,Beach Volleyball,Beach Volleyball Men's Beach Volleyball,Bronze,34.0*190.0?88.0,1494.82
2466,1380,"Christine M. ""Crissy"" Ahmann-Leighton (-Perham)",F,United States,USA,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold,22.0(172.0?52.0,1294.42
2467,1380,"Christine M. ""Crissy"" Ahmann-Leighton (-Perham)",F,United States,USA,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Women's 100 metres Butterfly,Silver,22.0?172.0?52.0,263.24
2468,1380,"Christine M. ""Crissy"" Ahmann-Leighton (-Perham)",F,United States,USA,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold,22.0*172.0?52.0,787.94
2475,1386,Muhammad Akhlaq Ahmed,M,Pakistan,PAK,1992 Summer,1992,Summer,Barcelona,Hockey,Hockey Men's Hockey,Bronze,20.0:nan?nan,437.5
2478,1389,Muhammad Ashfaq Ahmed,M,Pakistan,PAK,1968 Summer,1968,Summer,Mexico City,Hockey,Hockey Men's Hockey,Gold,21.0?162.0?62.0,982.16
2480,1391,Bashir Ahmed,M,Pakistan,PAK,1960 Summer,1960,Summer,Roma,Hockey,Hockey Men's Hockey,Gold,25.0?171.0?67.0,771.67
2489,1400,Ishtiaq Ahmed,M,Pakistan,PAK,1984 Summer,1984,Summer,Los Angeles,Hockey,Hockey Men's Hockey,Gold,21.0?170.0?62.0,1410.33
2493,1402,Manzoor Ahmed,M,Pakistan,PAK,1992 Summer,1992,Summer,Barcelona,Hockey,Hockey Men's Hockey,Bronze,24.0:169.0?75.0,1818.74
2502,1408,Mushtaq Ahmed,M,Pakistan,PAK,1984 Summer,1984,Summer,Los Angeles,Hockey,Hockey Men's Hockey,Gold,28.0*170.0?70.0,1201.17
2503,1409,Mushtaq Ahmed,M,Pakistan,PAK,1960 Summer,1960,Summer,Roma,Hockey,Hockey Men's Hockey,Gold,27.0:173.0?61.0,1604.85
2506,1412,Riaz Ahmed,M,Pakistan,PAK,1968 Summer,1968,Summer,Mexico City,Hockey,Hockey Men's Hockey,Gold,27.0*150.0?70.0,1821.2
2507,1412,Riaz Ahmed,M,Pakistan,PAK,1972 Summer,1972,Summer,Munich,Hockey,Hockey Men's Hockey,Silver,30.0?150.0?70.0,804.79
2511,1414,Shahbaz Ahmed,M,Pakistan,PAK,1992 Summer,1992,Summer,Barcelona,Hockey,Hockey Men's Hockey,Bronze,23.0:175.0?61.0,723.36
2532,1424,Arthur Ahnger,M,Lucky Girl-1,FIN,1912 Summer,1912,Summer,Stockholm,Sailing,Sailing Mixed 8 metres,Bronze,26.0*nan?nan,88.04
2557,1435,Janne Petteri Ahonen,M,Finland,FIN,2002 Winter,2002,Winter,Salt Lake City,Ski Jumping,"Ski Jumping Men's Large Hill, Team",Silver,24.0?184.0?66.0,1806.94
2560,1435,Janne Petteri Ahonen,M,Finland,FIN,2006 Winter,2006,Winter,Torino,Ski Jumping,"Ski Jumping Men's Large Hill, Team",Silver,28.0:184.0?66.0,1255.43
2576,1442,Peter Ahrendt,M,Mutafo,GER,1964 Summer,1964,Summer,Tokyo,Sailing,Sailing Mixed Three Person Keelboat,Silver,30.0:169.0?66.0,901.12
2577,1443,Brigitte Ahrenholz,F,East Germany,GDR,1976 Summer,1976,Summer,Montreal,Rowing,Rowing Women's Coxed Eights,Gold,23.0?178.0?85.0,238.89
2579,1444,"Christian ""Chris"" Ahrens",M,United States,USA,2004 Summer,2004,Summer,Athina,Rowing,Rowing Men's Coxed Eights,Gold,28.0:195.0?97.0,803.24
2584,1447,Marlene Ahrens Ostertag (-Ebensperger),F,Chile,CHI,1956 Summer,1956,Summer,Melbourne,Athletics,Athletics Women's Javelin Throw,Silver,23.0?176.0?70.0,1496.94
2587,1449,Thomas Ahrens,M,Germany,GER,1964 Summer,1964,Summer,Tokyo,Rowing,Rowing Men's Coxed Eights,Silver,16.0(163.0?50.0,747.84
2615,1466,Matteo Aicardi,M,Italy,ITA,2012 Summer,2012,Summer,London,Water Polo,Water Polo Men's Water Polo,Silver,26.0*192.0?102.0,181.58
2616,1466,Matteo Aicardi,M,Italy,ITA,2016 Summer,2016,Summer,Rio de Janeiro,Water Polo,Water Polo Men's Water Polo,Bronze,30.0*192.0?102.0,757.5
2618,1467,Mara Magdalena Aicega Amicarelli,F,Argentina,ARG,2000 Summer,2000,Summer,Sydney,Hockey,Hockey Women's Hockey,Silver,26.0:165.0?60.0,148.68
2619,1467,Mara Magdalena Aicega Amicarelli,F,Argentina,ARG,2004 Summer,2004,Summer,Athina,Hockey,Hockey Women's Hockey,Bronze,30.0?165.0?60.0,1921.41
2620,1467,Mara Magdalena Aicega Amicarelli,F,Argentina,ARG,2008 Summer,2008,Summer,Beijing,Hockey,Hockey Women's Hockey,Bronze,34.0*165.0?60.0,66.0
